1.769e-01,2.058e-01,6.628e-01,4.096e-01
3.603e-01,4.485e-01,7.398e+00,1.142e+01
3.124e-01,3.774e-01,6.896e+00,9.345e+00
9.103e+04,2.516e+05,2.915e+06,8.053e+06
4.234e-01,6.263e-01,1.095e+01,1.709e+01
9.103e+04,2.516e+05,2.915e+06,8.053e+06
4.234e-01,6.263e-01,1.095e+01,1.709e+01
2.374e-01,3.282e-01,6.691e+00,1.009e+01
5.104e+04,1.493e+05,1.639e+06,4.791e+06
3.286e-01,5.162e-01,9.598e+00,1.550e+01
5.104e+04,1.493e+05,1.639e+06,4.791e+06
3.286e-01,5.162e-01,9.598e+00,1.550e+01
1.104e+03,1.179e+03,1.912e+04,2.395e+04
4.818e-01,7.530e-01,1.226e+01,2.199e+01
3.084e-01,3.481e-01,4.614e+00,6.394e+00
6.771e-01,1.546e+00,1.970e+01,5.095e+01
1.715e-01,2.064e-01,6.528e-01,4.056e-01
2.829e-01,4.695e-01,6.566e+00,9.877e+00
5.079e+04,1.492e+05,1.626e+06,4.787e+06
3.905e-01,6.861e-01,1.085e+01,1.771e+01
3.987e-01,6.840e-01,1.106e+01,1.774e+01
2.271e-01,3.203e-01,4.141e+00,5.556e+00
6.920e-01,1.592e+00,2.074e+01,5.104e+01
3.673e-01,4.816e-01,8.938e-01,7.532e-01
4.651e-01,6.380e-01,1.000e+01,1.513e+01
6.070e-01,9.390e-01,1.633e+01,2.789e+01
4.182e-01,5.763e-01,6.170e+00,8.643e+00
1.129e+00,2.032e+00,2.787e+01,4.578e+01
5.559e+04,1.634e+05,1.661e+06,4.819e+06
4.698e-01,7.682e-01,1.179e+01,2.192e+01
5.559e+04,1.634e+05,1.661e+06,4.819e+06
4.698e-01,7.682e-01,1.179e+01,2.192e+01
5.148e+04,1.344e+05,1.590e+06,4.074e+06
6.075e-01,9.889e-01,1.590e+01,2.785e+01
5.148e+04,1.344e+05,1.590e+06,4.074e+06
6.075e-01,9.889e-01,1.590e+01,2.785e+01
2.420e+01,2.170e+01,2.445e+01,2.165e+01
8.224e+01,9.355e+01,5.954e+02,7.277e+02
8.588e+01,1.013e+02,8.209e+02,1.120e+03
2.573e+01,8.198e+00,5.187e+01,3.788e+01
4.792e+01,5.900e+01,7.638e+02,1.043e+03
2.546e+01,2.540e+01,2.570e+01,2.533e+01
8.521e+01,9.734e+01,5.953e+02,6.945e+02
8.837e+01,9.953e+01,8.023e+02,9.946e+02
2.580e+01,8.342e+00,5.193e+01,3.836e+01
4.119e+01,5.053e+01,6.299e+02,8.222e+02
3.878e+01,4.627e+01,9.152e+02,1.019e+03
nan,nan,nan,nan
3.105e+01,3.167e+01,5.291e+02,5.340e+02
2.589e+01,1.044e+01,4.795e+02,3.638e+02
2.690e+01,1.930e+01,2.147e+02,1.686e+02
2.902e+01,1.556e+01,2.855e+02,2.420e+02
2.616e+01,1.555e+01,1.479e+02,1.008e+02
4.280e+01,3.876e+01,5.304e+02,7.382e+02
